horizon,config_id,n_samples,nrmse_pct,skill,reference_used
1,C1,3773,6.364040249913879,0.2000993625869727,convex_reference
1,C2,3773,6.364040249913879,0.25209377609425654,smart_persistence
1,C3,4255,5.996498639260679,0.20673559771969408,convex_reference
1,C4,8694,4.196254449135877,0.2611743141513929,smart_persistence
1,C5,3773,6.364040249913879,,none
1,C6,8694,4.196254449135877,,none
3,C1,3762,8.966758080881347,0.2760073740094118,convex_reference
3,C2,3762,8.966758080881347,0.5264867089457106,smart_persistence
3,C3,4247,8.442249074286565,0.2762072947230153,convex_reference
3,C4,8694,5.901194570430979,0.527942851440238,smart_persistence
3,C5,3762,8.966758080881347,,none
3,C6,8694,5.901194570430979,,none
6,C1,3756,10.707257706744354,0.19384464228889253,convex_reference
6,C2,3756,10.707257706744354,0.6521534958697559,smart_persistence
6,C3,4245,10.074478141099203,0.19376553535927576,convex_reference
6,C4,8694,7.0411404540641485,0.6524276421888998,smart_persistence
6,C5,3756,10.707257706744354,,none
6,C6,8694,7.0411404540641485,,none
