array,horizon,config_id,config_description,n_samples,rmse,nrmse,mae,mbe,skill,reference_used,hours_included
array11,1,C1,"daylight only, skill vs convex reference (correct protocol, CLAUDE.md rule 4)",3773,0.31820201249569396,6.364040249913879,0.1823957606600898,-0.0153447821754804,0.2000993625869727,convex_reference,daylight
array11,1,C2,"daylight only, skill vs smart persistence",3773,0.31820201249569396,6.364040249913879,0.1823957606600898,-0.0153447821754804,0.25209377609425654,smart_persistence,daylight
array11,1,C3,"convex-covered hours only, skill vs convex reference (NOT a 24h cycle - the convex reference has no prediction at always-night cells)",4255,0.29982493196303395,5.996498639260679,0.1641983127500794,-0.013453657370534517,0.20673559771969408,convex_reference,convex_covered
array11,1,C4,"all 24 hours, skill vs smart persistence (model + persistence only, true 24h cycle)",8694,0.20981272245679383,4.196254449135877,0.0838946543745534,-0.0031055092098555745,0.2611743141513929,smart_persistence,all_24h
array11,1,C5,"daylight only, raw nRMSE, no skill score",3773,0.31820201249569396,6.364040249913879,0.1823957606600898,-0.0153447821754804,,none,daylight
array11,1,C6,"all 24 hours, raw nRMSE, no skill score",8694,0.20981272245679383,4.196254449135877,0.0838946543745534,-0.0031055092098555745,,none,all_24h
array11,3,C1,"daylight only, skill vs convex reference (correct protocol, CLAUDE.md rule 4)",3762,0.4483379040440673,8.966758080881347,0.27138418324837377,-0.011102371032668925,0.2760073740094118,convex_reference,daylight
array11,3,C2,"daylight only, skill vs smart persistence",3762,0.4483379040440673,8.966758080881347,0.27138418324837377,-0.011102371032668925,0.5264867089457106,smart_persistence,daylight
array11,3,C3,"convex-covered hours only, skill vs convex reference (NOT a 24h cycle - the convex reference has no prediction at always-night cells)",4247,0.4221124537143282,8.442249074286565,0.2429828011619066,-0.009795766760350303,0.2762072947230153,convex_reference,convex_covered
array11,3,C4,"all 24 hours, skill vs smart persistence (model + persistence only, true 24h cycle)",8694,0.295059728521549,5.901194570430979,0.121836811711607,-0.0017181802632375708,0.527942851440238,smart_persistence,all_24h
array11,3,C5,"daylight only, raw nRMSE, no skill score",3762,0.4483379040440673,8.966758080881347,0.27138418324837377,-0.011102371032668925,,none,daylight
array11,3,C6,"all 24 hours, raw nRMSE, no skill score",8694,0.295059728521549,5.901194570430979,0.121836811711607,-0.0017181802632375708,,none,all_24h
array11,6,C1,"daylight only, skill vs convex reference (correct protocol, CLAUDE.md rule 4)",3756,0.5353628853372178,10.707257706744354,0.33764571469481,-0.008980356017974426,0.19384464228889253,convex_reference,daylight
array11,6,C2,"daylight only, skill vs smart persistence",3756,0.5353628853372178,10.707257706744354,0.33764571469481,-0.008980356017974426,0.6521534958697559,smart_persistence,daylight
array11,6,C3,"convex-covered hours only, skill vs convex reference (NOT a 24h cycle - the convex reference has no prediction at always-night cells)",4245,0.5037239070549601,10.074478141099203,0.30159927360638566,-0.0074585479079534965,0.19376553535927576,convex_reference,convex_covered
array11,6,C4,"all 24 hours, skill vs smart persistence (model + persistence only, true 24h cycle)",8694,0.35205702270320743,7.0411404540641485,0.15236493678699403,0.0014141052776136562,0.6524276421888998,smart_persistence,all_24h
array11,6,C5,"daylight only, raw nRMSE, no skill score",3756,0.5353628853372178,10.707257706744354,0.33764571469481,-0.008980356017974426,,none,daylight
array11,6,C6,"all 24 hours, raw nRMSE, no skill score",8694,0.35205702270320743,7.0411404540641485,0.15236493678699403,0.0014141052776136562,,none,all_24h
array12,1,C1,"daylight only, skill vs convex reference (correct protocol, CLAUDE.md rule 4)",3773,0.31161661664978846,6.110129738231146,0.18034515239165602,-0.01770945503293238,0.1896818784295955,convex_reference,daylight
array12,1,C2,"daylight only, skill vs smart persistence",3773,0.31161661664978846,6.110129738231146,0.18034515239165602,-0.01770945503293238,0.24395387800032275,smart_persistence,daylight
array12,1,C3,"convex-covered hours only, skill vs convex reference (NOT a 24h cycle - the convex reference has no prediction at always-night cells)",4255,0.29364692144892834,5.757782773508399,0.16253469829031714,-0.015135315768784952,0.19714098929312407,convex_reference,convex_covered
array12,1,C4,"all 24 hours, skill vs smart persistence (model + persistence only, true 24h cycle)",8694,0.20545620858094277,4.028553109430251,0.08176978564787303,-0.005326227353820382,0.25389474677826707,smart_persistence,all_24h
array12,1,C5,"daylight only, raw nRMSE, no skill score",3773,0.31161661664978846,6.110129738231146,0.18034515239165602,-0.01770945503293238,,none,daylight
array12,1,C6,"all 24 hours, raw nRMSE, no skill score",8694,0.20545620858094277,4.028553109430251,0.08176978564787303,-0.005326227353820382,,none,all_24h
array12,3,C1,"daylight only, skill vs convex reference (correct protocol, CLAUDE.md rule 4)",3762,0.43690929069521556,8.566848837161091,0.2701062431833754,-0.01587096515980728,0.27469918432442675,convex_reference,daylight
array12,3,C2,"daylight only, skill vs smart persistence",3762,0.43690929069521556,8.566848837161091,0.2701062431833754,-0.01587096515980728,0.5095801981759691,smart_persistence,daylight
array12,3,C3,"convex-covered hours only, skill vs convex reference (NOT a 24h cycle - the convex reference has no prediction at always-night cells)",4247,0.41139441239610813,8.066557105806043,0.2422382466032737,-0.013491810722767276,0.27513699752036513,convex_reference,convex_covered
array12,3,C4,"all 24 hours, skill vs smart persistence (model + persistence only, true 24h cycle)",8694,0.28754974225506136,5.6382302402953215,0.12025868999839998,-0.004812079724968666,0.5112617913940134,smart_persistence,all_24h
array12,3,C5,"daylight only, raw nRMSE, no skill score",3762,0.43690929069521556,8.566848837161091,0.2701062431833754,-0.01587096515980728,,none,daylight
array12,3,C6,"all 24 hours, raw nRMSE, no skill score",8694,0.28754974225506136,5.6382302402953215,0.12025868999839998,-0.004812079724968666,,none,all_24h
array12,6,C1,"daylight only, skill vs convex reference (correct protocol, CLAUDE.md rule 4)",3756,0.52381390885824,10.270860958004706,0.33258494258359655,-0.010481690344692308,0.20067271546774057,convex_reference,daylight
array12,6,C2,"daylight only, skill vs smart persistence",3756,0.52381390885824,10.270860958004706,0.33258494258359655,-0.010481690344692308,0.6388726337602553,smart_persistence,daylight
array12,6,C3,"convex-covered hours only, skill vs convex reference (NOT a 24h cycle - the convex reference has no prediction at always-night cells)",4245,0.4928774113438242,9.664262967525964,0.2973077707090541,-0.008644342177469426,0.20067525603579395,convex_reference,convex_covered
array12,6,C4,"all 24 hours, skill vs smart persistence (model + persistence only, true 24h cycle)",8694,0.3444429083241045,6.753782516158912,0.1486684403145737,-0.0008080540234779394,0.6392281201828662,smart_persistence,all_24h
array12,6,C5,"daylight only, raw nRMSE, no skill score",3756,0.52381390885824,10.270860958004706,0.33258494258359655,-0.010481690344692308,,none,daylight
array12,6,C6,"all 24 hours, raw nRMSE, no skill score",8694,0.3444429083241045,6.753782516158912,0.1486684403145737,-0.0008080540234779394,,none,all_24h
array17,1,C1,"daylight only, skill vs convex reference (correct protocol, CLAUDE.md rule 4)",3773,0.421587825618833,6.691870247917985,0.24088478658673554,-0.009973641314042735,0.12209885658334141,convex_reference,daylight
array17,1,C2,"daylight only, skill vs smart persistence",3773,0.421587825618833,6.691870247917985,0.24088478658673554,-0.009973641314042735,0.16573321774880145,smart_persistence,daylight
array17,1,C3,"convex-covered hours only, skill vs convex reference (NOT a 24h cycle - the convex reference has no prediction at always-night cells)",4255,0.3976694164142872,6.31221295895694,0.21917678503885468,-0.005632578224810871,0.1254572765843256,convex_reference,convex_covered
array17,1,C4,"all 24 hours, skill vs smart persistence (model + persistence only, true 24h cycle)",8694,0.27841211682849365,4.419239949658629,0.114885998206593,0.0048306696834088374,0.16901245797773135,smart_persistence,all_24h
array17,1,C5,"daylight only, raw nRMSE, no skill score",3773,0.421587825618833,6.691870247917985,0.24088478658673554,-0.009973641314042735,,none,daylight
array17,1,C6,"all 24 hours, raw nRMSE, no skill score",8694,0.27841211682849365,4.419239949658629,0.114885998206593,0.0048306696834088374,,none,all_24h
array17,3,C1,"daylight only, skill vs convex reference (correct protocol, CLAUDE.md rule 4)",3762,0.59321717601075,9.416145650964285,0.3646458014168093,-0.009271795559978126,0.18342847244163085,convex_reference,daylight
array17,3,C2,"daylight only, skill vs smart persistence",3762,0.59321717601075,9.416145650964285,0.3646458014168093,-0.009271795559978126,0.34086373151134575,smart_persistence,daylight
array17,3,C3,"convex-covered hours only, skill vs convex reference (NOT a 24h cycle - the convex reference has no prediction at always-night cells)",4247,0.559096353303622,8.874545290533682,0.3297217736090373,-0.005828485165449333,0.18384895458995498,convex_reference,convex_covered
array17,3,C4,"all 24 hours, skill vs smart persistence (model + persistence only, true 24h cycle)",8694,0.390823959565186,6.203554913733112,0.16564498623137344,0.001654684291178029,0.34140303863468713,smart_persistence,all_24h
array17,3,C5,"daylight only, raw nRMSE, no skill score",3762,0.59321717601075,9.416145650964285,0.3646458014168093,-0.009271795559978126,,none,daylight
array17,3,C6,"all 24 hours, raw nRMSE, no skill score",8694,0.390823959565186,6.203554913733112,0.16564498623137344,0.001654684291178029,,none,all_24h
array17,6,C1,"daylight only, skill vs convex reference (correct protocol, CLAUDE.md rule 4)",3756,0.7165894168422337,11.374435187971963,0.4493972249015259,-0.003454193955400056,0.132141726558911,convex_reference,daylight
