model,array,horizon,n_seeds,mean_skill_vs_convex,std_skill_vs_convex,mean_skill_vs_persistence,std_skill_vs_persistence,mean_rmse_daylight,std_rmse_daylight
lstm,array11,1,5,0.193814595473984,0.002119792548013925,0.2480977926743452,0.0019770597271743687,0.32168063608160147,0.0008458305141446625
lstm,array11,3,5,0.27215819194007285,0.004234364527546073,0.5294510274722869,0.0027375122666497545,0.4474629053179566,0.002603204477524417
lstm,array11,6,5,0.21044036971701913,0.005520977517406564,0.6652339210145912,0.0023408440917962884,0.5163964841008919,0.0036108905134461015
lstm,array12,1,5,0.19029947447565054,0.001520927890654708,0.24653450609721966,0.001415296950166328,0.31220767023092977,0.0005864456528826573
lstm,array12,3,5,0.2751391634287813,0.004589827697754312,0.5151317718591074,0.0030701915609196227,0.4334038284470326,0.0027443183515454086
lstm,array12,6,5,0.21504883219420204,0.003722845446432849,0.6512810115881474,0.0016538951100903462,0.5060351668455918,0.0024000100820183628
lstm,array17,1,5,0.11898737857916845,0.002200669935822022,0.16406035887859127,0.002088082726228059,0.42422203281288384,0.0010596586825498888
lstm,array17,3,5,0.18061548949588163,0.004647599988059534,0.34309975751021726,0.003725979097741889,0.5920065124620141,0.00335789781839644
lstm,array17,6,5,0.1541534462530731,0.0060938893413862265,0.408658017331586,0.004260314816362541,0.6883415276142416,0.004959146644010504
xgboost,array11,1,5,0.1967092270065865,0.002288895186766866,0.24892400302262194,0.00214011450420551,0.3195506149518702,0.0009105269089126286
xgboost,array11,3,5,0.2761417680414967,0.002912067527974808,0.5265746067476302,0.0019045811095893502,0.44825467952423387,0.001803319819923123
xgboost,array11,6,5,0.1947101050693429,0.0018841717277303129,0.6525269328254926,0.000812997820336881,0.5347881367520202,0.0012512670206553372
xgboost,array12,1,5,0.18900338920896764,0.002293685274007386,0.2433208313851488,0.002140063032454825,0.31187753703369353,0.0008820615332660099
xgboost,array12,3,5,0.274953432363522,0.000697513268713898,0.5097521106711055,0.000471630958657686,0.4367561358551534,0.00042017052910719814
xgboost,array12,6,5,0.20017759870944457,0.0026526299344966178,0.6386489453983483,0.0011984293297507417,0.5241383679997242,0.00173831730960634
xgboost,array17,1,5,0.11902492717905691,0.0022455801280568868,0.16281207199997688,0.0021339679550139608,0.4230639954853109,0.0010783779592266197
xgboost,array17,3,5,0.18282202939820313,0.0012156994400545607,0.3403742108861397,0.0009813121881892136,0.5936577405142776,0.0008831728322237726
xgboost,array17,6,5,0.13021712019696233,0.0027013026655942412,0.3850392193549608,0.001909896405834699,0.7181785617438444,0.0022304620017936077
