model,array,horizon,n_seeds,mean_skill_vs_convex,std_skill_vs_convex,mean_skill_vs_persistence,std_skill_vs_persistence,mean_rmse_daylight,std_rmse_daylight
cnn_lstm,array11,1,5,0.1944760884026988,0.005779475553063666,0.24871474504093316,0.0053903238648783805,0.32141669001550077,0.0023061015018259238
cnn_lstm,array11,3,5,0.2646341712367639,0.003196913947958955,0.5245867559066616,0.0020668015450793563,0.45208852605902,0.001965400156138641
cnn_lstm,array11,6,5,0.2016927754804147,0.004666677112882445,0.661525020874783,0.0019786285152531185,0.5221176820128277,0.0030521515552446475
cnn_lstm,array12,1,5,0.1892898920887917,0.0035416105768267597,0.24559504086560513,0.0032956399043362274,0.31259694917415787,0.001365588822287413
cnn_lstm,array12,3,5,0.2671424952269566,0.0061332657729191165,0.5097827032566565,0.00410261605813802,0.4381851415469175,0.0036671602778820095
cnn_lstm,array12,6,5,0.2013507849299732,0.006263724140453531,0.6451955767469556,0.002782694816615971,0.5148658991473084,0.004038040607480632
cnn_lstm,array17,1,5,0.11679476988877006,0.004880118887223221,0.16197992498104352,0.00463044993003178,0.4252778098734939,0.0023498573168766208
cnn_lstm,array17,3,5,0.17634259221897353,0.0051911975354573085,0.3396741774298616,0.0041617810394734035,0.5950936870211896,0.0037506478449009385
cnn_lstm,array17,6,5,0.14911124314010288,0.008748737089509758,0.40513294960785706,0.006116352325889181,0.6924448224470319,0.0071196353832876196
cnn_lstm_residual,array11,1,5,0.16392531026982077,0.006077380778026778,0.22022105440269482,0.005668170120796788,0.33360693023493276,0.002424970364646021
cnn_lstm_residual,array11,3,5,0.233909284014242,0.0032193045218176677,0.5047231482470186,0.002081277027810441,0.47097758567322706,0.0019791654429353297
cnn_lstm_residual,array11,6,5,0.1576370939118977,0.010263831739663408,0.6428458138712078,0.0043517710063540795,0.5509314640174837,0.006712864260633119
cnn_lstm_residual,array12,1,5,0.16217705939872107,0.004708393097037756,0.22036523894507626,0.004381387461803366,0.32305122709629,0.001815481641691658
